doi	title	abstract	labels
10.1080/00220388.2017.1308486	A Teenager in Love: Multidimensional Human Capital and Teenage Pregnancy in Ghana		['SDG03']
10.1177/2325957414535977	Correlates of Knowledge of HIV Transmission among Incident Cases of HIV in a Cohort of Injection Drug Users Receiving Harm Reduction Services at Karachi, Pakistan	Background: Knowledge of risk factors for HIV transmission in high-risk population plays a critical role in averting the risk of HIV transmission. In Pakistan, injection drug users (IDUs) constitute the core risk group of HIV prevalence, where the epidemic has transitioned to a “concentrated level.” Still nothing is known about the role of knowledge in HIV transmission and HIV sero-conversion among IDUs in Pakistan. Methods: From 2009 to 2011, a nested case–control study was conducted in a cohort of 636 IDUs receiving harm reduction services in the mega city of Karachi. Results: In multivariable regression analysis, 3 factors, namely HIV does not spread through unprotected sex (adjusted odds ratio [AOR]: 3.1, 95% confidence interval [CI] 1.39-6.90, P value .01), HIV does not transmit by sharing syringes (AOR: 3.5, 95% CI 1.97-6.40, P value &lt;.00), and the risk of HIV cannot be minimized by using new syringe every time (AOR: 2.0, 95% CI 1.16-3.60, P value .01), were significantly associated with the incident cases of HIV. Conclusion: The study findings suggest the association between knowledge of HIV transmission and HIV sero-incident cases. </jats:sec	['SDG03']
10.1089/jwh.2016.6052	Risks Factors and Treatment Use Related to Infertility and Impaired Fecundity among Reproductive-Aged Women		['SDG03']
10.1093/her/cyx032	Smokers' perceptions of sources of advice about quitting: Findings from the Australian arm of the ITC 4-country survey		['SDG03']
10.1257/aer.p20171130	Teenage motherhood and sibling outcomes	Using annual longitudinal data, I show that all children in families with teen childbearing are on a downward trajectory several years before pregnancy begins. Compared to students on similar trajectories from families without teenage childbearing, siblings of teen mothers have lower test scores, higher high school dropout, and higher juvenile justice system exposure following the birth. The change in test score outcomes occurs after the baby is born, indicating that the child's arrival affects performance, rather than some unobserved occurrence leading to both teen pregnancy and poor outcomes. The test scores for teen mothers drop in the year of pregnancy. </jats:p	['SDG03']
10.3390/ijerph14050528	Family planning and the Samburu: A qualitative study exploring the thoughts of men on a population health and environment programme in rural Kenya	Population Health and Environment (PHE) strategies are argued to improve ecosystem and human health by addressing family size and its effects on natural resource use, food security, and reproductive health. This study investigates men’s views on a PHE family planning (FP) programme delivered among the pastoral Samburu tribe in rural northern Kenya. Three focus group discussions and nine semi-structured interviews were conducted with 27 Samburu men. These discussions revealed support for environmentally-sensitised family planning promotion. Men highlighted their dependency on natural resources and challenges faced in providing for large families and maintaining livestock during drought. These practices were said to lead to natural resource exhaustion, environmental degradation, and wildlife dispersal, undermining key economic benefits of environmental and wildlife conservation. Relating family size to the environment is a compelling strategy to improve support for FP among Samburu men. Kenyan policy-makers should consider integrating community-based PHE strategies among underserved pastoral groups living in fragile ecosystems	['SDG03']
10.1016/j.chiabu.2017.04.022	Effectiveness of family group conferencing in preventing repeat referrals to child protective services and out-of-home placements		['SDG03']
10.1016/j.chemosphere.2017.05.109	Hypoxia exacerbates the cardiotoxic effect of the polycyclic aromatic hydrocarbon, phenanthrene in Danio rerio		['SDG03']
10.1093/ije/dyw054	Bidirectional association between physical activity and muscular strength in older adults: Results from the UK Biobank study		['SDG03']
10.1136/bmjgh-2016-000065	‘Women and babies are dying but not of Ebola’: The effect of the Ebola virus epidemic on the availability, uptake and outcomes of maternal and newborn health services in Sierra Leone	BACKGROUND: We sought to determine the impact of the Ebola virus epidemic on the availability, uptake and outcome of routine maternity services in Sierra Leone. METHODS: The number of antenatal and postnatal visits, institutional births, availability of emergency obstetric care (EmOC), maternal deaths and stillbirths were assessed by month, by districts and by level of healthcare for 10 months during, and 12 months prior to, the Ebola virus disease (EVD) epidemic. All healthcare facilities designated to provide comprehensive (n=13) or basic (n=67) EmOC across the 13 districts of Sierra Leone were included. RESULTS: Preservice students were not deployed during the EVD epidemic. The number of healthcare providers in facilities remained constant (incidence rate ratio (IRR) 1.03, 95% CI 1.00 to 1.07). Availability of antibiotics, oxytocics, anticonvulsants, manual removal of placenta, removal of retained products of conception, blood transfusion and caesarean section were not affected by the EVD epidemic. Across Sierra Leone, following the onset of the EVD epidemic, there was a 18% decrease in the number of women attending for antenatal (IRR 0.82, 95% CI 0.79 to 0.84); 22% decrease in postnatal attendance (IRR 0.78, 95% CI 0.75 to 0.80) visits and 11% decrease in the number of women attending for birth at a healthcare facility (IRR 0.89, 95% CI 0.87 to 0.91). There was a corresponding 34% increase in the facility maternal mortality ratio (IRR 1.34, 95% CI 1.07 to 1.69) and 24% increase in the stillbirth rate (IRR 1.24, 95% CI 1.14 to 1.35). CONCLUSIONS: During the EVD epidemic, fewer pregnant women accessed healthcare. For those who did, an increase in maternal mortality and stillbirth was observed. In the post-Ebola phase, ‘readiness’ (or not) of the global partners for large-scale epidemics has been the focus of debate. The level of functioning of the health system with regard to ability to continue to provide high-quality effective routine care needs more attention	['SDG03']
10.1136/jfprhc-2016-101562	Authors' response to comment on 'Postpartum contraception: A missed opportunity to prevent unintended pregnancy and short inter-pregnancy intervals'		['SDG03']
10.14689/ejer.2017.68.4	Effect of health warnings on cigarette pockets on behaviour: Educational perspective	Purpose: Health warnings printed on cigarette packets are an important vehicle in that they demonstrate and inform people of the threats and health risks related to smoking. Increasing the effectiveness of this vehicle is one of the purposes of this study. Research Methods: Since this research aims to describe the associations between dependent and independent variables and determine whether or not independent variables influence dependent variables, it is a correlational study in the category of descriptive research. The research group was composed of 848 randomly chosen undergraduate students. The data were collected through a questionnaire used in similar research. Path analysis and logistic regression analysis were employed in the analysis of the data. Findings: According to the findings, the variables of response efficacy, self-efficacy, probability of harm and the severity of harm have high rates of explanation in both groups, but are higher in the combined warning group. It is apparent that the severity of harm and probability of harm will not be influential in behaviours in both groups without the variable of the instrument of fear. The reason for this is that fear can be associated with the function of the moderator. Implications for Research and Practice: In conclusion, it may be stated that the written text warnings and combined warnings printed on cigarette packets can be influential (and combined warnings are more influential) in preventing individuals from smoking. Enlarging this project and applying it to different groups is important in terms of understanding the durability of the relevant behaviour.Scopu	['SDG03']
10.1053/j.semdp.2017.04.006	HIV and mycobacteria		['SDG03']
10.1371/journal.pmed.1002308	Tobacco control: Developing an innovative and effective global strategy		['SDG03']
10.1002/ca.22897	Analysis of the relationship between the double transverse foramen and the possibility of developing clinical symptoms after whiplash		['SDG03']
10.3760/cma.j.issn.0254-6450.2016.04.019	Epidemiology on reported people living with HIV/AIDS in Qingdao city from 2010 to 2014		['SDG03']
10.1002/ijgo.12064	Development, updates, and future directions of the World Health Organization Selected Practice Recommendations for Contraceptive Use		['SDG03']
10.1002/ijgo.12031	Effects of an intervention initiated by a national society to improve postabortion care in rural facilities in Burkina Faso		['SDG03']
10.1164/rccm.201508-1633oc	Long-Term Ozone Exposure and Mortality in a Large Prospective Study		['SDG03']
10.1093/epirev/mxw001	The health system and policy implications of changing epidemiology for oral cavity and oropharyngeal cancers in the United States from 1995 to 2016		['SDG03']
10.1016/j.schres.2017.05.039	Schizophrenia and induced abortions: A national register-based follow-up study among Finnish women born between 1965–1980 with schizophrenia or schizoaffective disorder		['SDG03']
10.1016/j.scitotenv.2017.05.257	Urinary sexual steroids associated with bisphenol A (BPA) exposure in the early infant stage: Preliminary results from a Daishan birth cohort		['SDG03']
10.1097/nnr.0000000000000229	Visits to Registered Nurses: An Opportunity to Increase Contraceptive Access in California		['SDG03']
10.1089/apc.2016.0310	Real-World Strategies to Engage and Retain Racial-Ethnic Minority Young Men Who Have Sex with Men in HIV Prevention Services		['SDG03']
10.1186/s12913-017-2235-y	The development and appraisal of a tool designed to find patients harmed by falsely labelled, falsified (counterfeit) medicines	"To access publisher's full text version of this article, please click on the hyperlink in Additional Links field or click on the hyperlink at the top of the page marked FilesFalsely labelled, falsified (counterfeit) medicines (FFCm's) are produced or distributed illegally and can harm patients. Although the occurrence of FFCm's is increasing in Europe, harm is rarely reported. The European Directorate for the Quality of Medicines & Health-Care (EDQM) has therefore coordinated the development and validation of a screening tool.The tool consists of a questionnaire referring to a watch-list of FFCm's identified in Europe, including symptoms of their use and individual risk factors, and a scoring form. To refine the questionnaire and reference method, a pilot-study was performed in 105 self-reported users of watch-list medicines. Subsequently, the tool was validated under ""real-life conditions"" in 371 patients in 5 ambulatory and in-patient care sites (""sub-studies""). The physicians participating in the study scored the patients and classified their risk of harm as ""unlikely"" or ""probable"" (cut-off level: presence of ≥2 of 5 risk factors). They assessed all medical records retrospectively (independent reference method) to validate the risk classification and documented their perception of the tool's value.In 3 ambulatory care sites (180 patients), the tool correctly classified 5 patients as harmed by FFCm's. The positive and negative likelihood ratios (LR+/LR-) and the discrimination power were calculated for two cut-off levels: a) 1 site (50 patients): presence of two risk factors (at 10% estimated health care system contamination with FFCm's): LR + 4.9/LR-0, post-test probability: 35%; b) 2 sites (130 patients): presence of three risk factors (at 5% estimated prevalence of use of non-prescribed medicines (FFCm's) by certain risk groups): LR + 9.7/LR-0, post-test probability: 33%. In 2 in-patient care sites (191 patients), no patient was confirmed as harmed by FFCm's. The physicians perceived the tool as valuable for finding harm, and as an information source regarding risk factors.This ""decision aid"" is a systematic tool which helps find in medical practice patients harmed by FFCm's. This study supports its value in ambulatory care in regions with health care system contamination and in certain risk groups. The establishment of systematic communication between authorities and the medical community concerning FFCm's, current patterns of use and case reports may sustain positive public health impacts.EDQ"	['SDG03']
10.4324/9781315696638	Conditions of success for teenage mothers: Revisiting school achievement on the margins		['SDG03']
10.1177/1557988315576775	Men Who Have Sex With Men in Peru: Acceptability of Medication-Assisted Therapy for Treating Alcohol Use Disorders		['SDG03']
10.1177/1524839916687542	Tobacco-Free Policy Outcomes for an Inpatient Substance Abuse Treatment Center	We assessed changes in patient census, smoking prevalence, and intention to remain abstinent associated with the voluntary enactment of a campus-wide tobacco-free policy in a for-profit residential addictions treatment center. Employing nationally recognized tobacco-free policy strategies, steps toward implementation were tailored to addictions treatment settings. Census data and survey of client tobacco use data were collected for 1 year before the policy began and for 1 year following the policy. Average daily census increased for both the inpatient and extended residential treatment programs after enactment of the tobacco-free policy. Number of tobacco users admitted to treatment increased significantly, while the number of tobacco users who left treatment early did not significantly change. In addition to reducing smoking, the policy was associated with a significant increase of patients reporting the intention to remain abstinent after discharge. Contrary to common concern, a tobacco-free policy implemented in an inpatient residential addictions treatment setting did not negatively affect census rates. This study suggests potential clinical and organizational benefits for campus-wide tobacco-free policies. </jats:p	['SDG03']
10.1016/j.envpol.2017.06.054	Loggerhead sea turtles (Caretta caretta): A target species for monitoring litter ingested by marine organisms in the Mediterranean Sea		['SDG03']
10.22514/sv131.042017.20	Outbreak of pseudomonas aeruginosa in a neonatal intensive care unit: Are point-of-use filters useful?		['SDG03']
10.3747/co.23.3506	Lessons learned implementing a province-wide smoking cessation initiative in Ontario’s cancer centres	Purpose: A large body of evidence clearly shows that cancer patients experience significant health benefits with smoking cessation. Cancer Care Ontario, the provincial agency responsible for the quality of cancer services in Ontario, has undertaken a province-wide smoking cessation initiative. The strategies used, the results achieved, and the lessons learned are the subject of the present article. Methods: Evidence related to the health benefits of smoking cessation in cancer patients was reviewed. A steering committee developed a vision statement for the initiative, created a framework for implementation, and made recommendations for the key elements of the initiative and for smoking cessation best practices. Results: New ambulatory cancer patients are being screened for their smoking status in each of Ontario’s 14 regional cancer centres. Current or recent smokers are advised of the benefits of cessation and are directed to smoking cessation resources as appropriate. Performance metrics are captured and used to drive improvement through quarterly performance reviews and provincial rankings of the regional cancer centres. Conclusions: Regional smoking cessation champions, commitment from Cancer Care Ontario senior leadership, a provincial secretariat, and guidance from smoking cessation experts have been important enablers of early success. Data capture has been difficult because of the variety of information systems in use and non-standardized administrative and clinical processes. Numerous challenges remain, including increasing physician engagement; obtaining funding for key program elements, including in-house resources to support smoking cessation; and overcoming financial barriers to access nicotine replacement therapy. Future efforts will focus on standardizing processes to the extent possible, while tailoring the approaches to the populations served and the resources available within the individual regional cancer programs.</jats:p	['SDG03']
10.1371/journal.pone.0180157	Metal contamination in harbours impacts life-history traits and metallothionein levels in snails		['SDG03']
10.11604/pamj.2017.26.71.11312	Sexual and reproductive health knowledge and behavior among adolescents living with HIV in Zambia: A case study		['SDG03']
10.1177/1078390317704045	Factors Associated With Staff Engagement in Patients’ Tobacco Treatment in a State Psychiatric Facility	BACKGROUND: Persons with mental illnesses (MI) who use tobacco are likely to experience poorer physical health and worsened psychiatric symptomology as compared to their non–tobacco-using counterparts. Therefore, engaging them in treatment is an important aspect of evidence-based care. OBJECTIVE: To use the theory of planned behavior to examine factors associated with intentions to provide and the provision of evidence-based tobacco treatment. DESIGN: This study is based on a cross-sectional analysis of survey data from 195 staff at a state psychiatric hospital. Results: When controlling for demographic variables, attitudes, subjective norms, and perceived behavioral control toward providing tobacco treatment were associated with intentions to provide tobacco treatment, but only subjective norms and perceived behavioral control were associated with reported provision of evidence-based tobacco treatment. CONCLUSIONS: Understanding factors that influence provider delivery of tobacco treatment can better determine strategies to reduce the disproportionate tobacco use and related illnesses in behavioral health settings. </jats:p	['SDG03']
10.1002/hec.3555	Extending decomposition analysis to account for unobserved heterogeneity and persistence in health behavior: Income-related smoking inequality among Swedish women		['SDG03']
10.7448/ias.20.4.21520	Living and dying to be counted: What we know about the epidemiology of the global adolescent HIV epidemic		['SDG03']
10.1002/hec.3548	The effect of state laws designed to prevent nonmedical prescription opioid use on overdose deaths and treatment		['SDG03']
10.1016/j.jpba.2017.06.041	An optimized HPLC-UV method for quantitatively determining sesquiterpenes in Nardostachyos Radix et Rhizoma		['SDG03']
10.1118/1.3613283	WE‐A‐211‐02: An Analysis of Recent Literature regarding Radiation Risk		['SDG03']
10.1080/13691058.2017.1340670	‘Taking care’ in the age of AIDS: older rural South Africans’ strategies for surviving the HIV epidemic		['SDG03']
10.1093/eurpub/ckw265	Parental separation in childhood and adult smoking in the 1958 British birth cohort	BACKGROUND:  Parental separation or divorce is a known risk factor for poorer adult health. One mechanism may operate through the uptake of risky health behaviours, such as smoking. This study investigated the association between parental separation and adult smoking in a large British birth cohort and also examined potential socioeconomic, relational and psychosocial mediators. Differences by gender and timing of parental separation were also assessed.  METHODS:  Multiply imputed data on 11 375 participants of the National Child Development Study (the 1958 British birth cohort) were used. A series of multinomial logistic regression models were estimated to investigate the association between parental separation (0–16 years) and adult smoking status (age 42), and the role of potential socioeconomic, relational and psychosocial mediators.  RESULTS:  Parental separation in childhood was associated with an increased risk of being a current (RRR = 2.14, 95% CI: 1.77, 2.60) or ex-smoker (RRR = 1.50, 95% CI: 1.22, 1.85) at age 42. This association remained after consideration of potential socioeconomic, psychosocial and relational mediators. Relational (parent–child relationship quality, parental involvement and adult partnership status) and socioeconomic factors (overcrowding, financial hardship, housing tenure, household amenities, free school meal receipt and educational attainment) appeared to be the most important of the groups of mediators investigated. No differences by gender or the timing of parental separation were observed.  CONCLUSION:  Parental separation experienced in childhood was associated with increased risk of smoking. Families undergoing separation should be further supported in order to prevent the uptake of smoking and to prevent later health problems	['SDG03']
10.1002/bdr2.1040	Plasma folate levels and associated factors in women planning to become pregnant in a population with high prevalence of neural tube defects		['SDG03']
10.1002/jcb.26234	Prevalence of exposure of heavy metals and their impact on health consequences		['SDG03']
10.1093/humrep/dex065	Transitions in pregnancy planning in women recruited for a large prospective cohort study		['SDG03']
10.1363/42e1216	Postpartum family planning during sociopolitical transition: Findings from an integrated community-based program in Egypt		['SDG03']
10.1155/2017/9241238	Predictors for Mortality among Multidrug-Resistant Tuberculosis Patients in Tanzania	Problem. Factors related to MDRTB mortality in Tanzania have not been adequately explored and reported. Objectives. To determine demographic, clinical, radiographic, and laboratory factors associated with MDRTB mortality in a Tanzanian TB Referral Hospital. Methodology. This was a cross-sectional study with 193 participants. Demographic, clinical, laboratory, and radiological data were collected, and their associations with mortality among MDRTB patients were determined. Results and Conclusions. Cough was the commonest finding among these MDRTB patients, with 179 (92.75%) of them presenting with cough, followed by chest X-ray consolidation in 156 patients (80.83%) and history of previous TB treatment in 151 patients (78.24%). Cigarette smoking, HIV positivity, and low CD4 counts were significantly associated with MDRTB mortality, p values of 0.034, 0.044, and 0.048, respectively. Fever on the other hand was at the borderline with p value of 0.059. We conclude that cigarette smoking and HIV status are significant risk factors for mortality among MDRTB patients. HIV screening should continually be emphasized among patients and the general community for early ARTs initiation. Based on the results from our study, policy makers and public health personnel should consider addressing tobacco cessation as part of national TB control strategy	['SDG03']
10.1093/humupd/dmw043	Interpregnancy interval following miscarriage and adverse pregnancy outcomes: systematic review and meta-analysis	Funding This research project did not receive any funding.Peer reviewe	['SDG03']
10.1093/ije/dyw062	Facility distance and child mortality: A multi-country study of health facility access, service utilization, and child health outcomes		['SDG03']
10.1080/09540121.2017.1363362	Engaging HIV-positive clients in care: acceptability and mechanisms of action of a peer navigation program in South Africa		['SDG03']
10.1007/s10405-017-0137-7	Current epidemiology of tuberculosis worldwide and in Germany		['SDG03']
10.1016/j.rppede.2015.08.010	Perception of parents about second hand smoke on the health of their children: An ethnographic study		['SDG03']
10.1111/hsc.12080	Cutting down: insights from qualitative studies of smoking in pregnancy		['SDG03']
10.1016/j.jclepro.2015.05.006	The spatial-temporal characteristics and health impacts of ambient fine particulate matter in China	Airborne particulate matter presents a serious health threat to human beings, but in China there have until now been few epidemiological studies, especially regarding the impact of ambient fine particulate matter (PM2.5). This study explored first the temporal and spatial characteristics of ambient airborne PM2.5 in China, 2013. Mortality, respiratory diseases, cardiovascular diseases, and chronic bronchitis were then evaluated as four health endpoints attributed to PM2.5. The results showed that the average annual PM2.5 concentration was 72.71 mu g/m(3); the PM2.5 concentration was below 35 mu g/m(3) for only 6% of the time, for the whole year. In terms of the PM2.5 concentration, January (133.10 mu g/m(3)) and December (120.19 mu g/m(3)) were the most polluted months, whereas July (38.76 mu g/m(3)) and August (41.31 mu g/m(3)) were the least polluted months. The most highly polluted areas were concentrated in North China. In terms of the health endpoints attributable to PM2.5, there were 763,595 mortality, 149,754 cardiovascular diseases, 446,035 respiratory diseases, and 2,389,035 chronic bronchitis cases. Results were very important to clarify the current PM2.5 pollution situation and the health impact of PM2.5 in China. And also provided a reference for the assessing damage caused by PM2.5 pollution. (C) 2015 Elsevier Ltd. All rights reserved	['SDG03']
10.1016/j.ihj.2017.07.016	Is smog innocuous? Air pollution and cardiovascular disease		['SDG03']
10.1016/j.meegid.2016.07.008	Origin, imports and exports of HIV-1 subtype C in South Africa: A historical perspective		['SDG03']
10.1016/j.mhpa.2017.08.001	Run to Quit: An evaluation of a scalable physical activity-based smoking cessation intervention		['SDG03']
10.1186/s13104-017-2748-9	Knowledge of standard precautions and barriers to compliance among healthcare workers in the Lower Manya Krobo District, Ghana	Abstract Background Implementing standard precautions (SP) has been a major challenge for health care workers (HCWs) especially those in developing countries thereby compromising their safety and increasing their exposure to blood-related pathogens. Compliance with safety precautions and occupational accidents among health workers are often unreported. The literature on knowledge and compliance to SP in Ghana is scanty. We report findings of a study that examined knowledge of SP, compliance and barriers to compliance with SP among HCWs in two health facilities in Ghana. Methods This is a facility-based cross-sectional study involving 100 HCWs from two health facilities in the Lower Manya Krobo District of the Eastern region. Statistical analysis summarised data on socio-demographic characteristics of respondents, knowledge of SP and compliance and barriers to SP in frequencies and percentages. Results Most respondents had been working as health staff for 0–5 years (65.0%). Generally, knowledge of the basic concepts of SP was low; only 37.0% of HCWs knew that SP includes hand washing before and after any direct contact with the patient, 39.0% knew about cough etiquettes and 40.0% knew about aseptic techniques which involve infection prevention strategies to minimise the risks of infection. Fifty percent of respondents always protect themselves against BBFs of patients. About a quarter of the respondents do not recap needles after use and 28.0% of respondents sometimes promptly wipe all blood spills. HCWs were of the opinion that wearing PPEs—such as gloves, aprons, gowns and goggles—might cause patients to panic sometimes (63.0%) and complying with SP sometimes interferes with the ability to provide care (38.0%). Sometimes, because of the demands of patient care, HCWs do not have enough time to comply with the rigours of SP (44.0%) and sometimes PPEs are not available. Conclusion Education programmes on the benefits of SP should be organised frequently. The OHS national policy together with the application of the IPC training manual in all health care facilities must be enforced. Communities of practice should be established and sanctions and rewards should be introduced to limit negative behavior and reinforce positive attitudes as regards SP	['SDG03']
10.1016/j.rce.2017.07.011	Malignancies and infection due to the human immunodeficiency virus. Are these emerging diseases?		['SDG03']
10.1007/s10552-017-0952-5	An opportune and unique research to evaluate the public health impact of electronic cigarettes		['SDG03']
10.1080/09540121.2017.1372559	Toward 90-90-90: identifying those who have never been tested for HIV and differences by sex in Lesotho		['SDG03']
10.1111/apa.13966	Swedish population-based study of pupils showed that foster children faced increased risks for ill health, negative lifestyles and school failure	AIM: This population-based study explored whether foster children faced a higher risk of health problems than children of the same age who were not in foster care.METHODS: Data for 13 739 pupils aged 10, 13 and 16 years were obtained from the Pupil Health Database in the county of Värmland, Sweden, for the school years 2012/2013 and 2013/2014. These included data on school performance, health, lifestyle and social relationships, based on children's interviews with school nurses.RESULTS: Of all the pupils, 171 (1.2%) were in foster care. Children in foster care were generally unhealthier than other children. Both girls and boys were at higher risk of chronic health problems, daily smoking, use of drugs and school failure. When the girls in foster care were compared to other girls, we found that they faced a higher risk of psychological and psychosomatic symptoms. This difference was not found for boys. Foster children were also more likely to express a more negative view on life.CONCLUSION: We confirmed earlier studies that children in foster care tended to have inferior health and well-being than other children. These findings emphasise that health, risky behaviour and school performance should be considered together when assessing foster children.</p	['SDG03']
10.1186/s12978-017-0374-6	Relationship between self-efficacy and patient knowledge on adherence to oral contraceptives using the Morisky Medication Adherence Scale (MMAS-8)	BackgroundPreconception care, including family planning, is a vital component of healthcare for women of reproductive age. An average female spends the majority of her reproductive life trying to prevent a pregnancy. In order to prevent unintended pregnancy, women often rely on the use of hormonal contraceptives. In the United States, the majority of hormonal contraceptive users are prescribed oral contraceptive pills (OCPs). Reduced adherence to OCPs decreases their ability to prevent pregnancy. The study aimed to measure OCP adherence among female college students, and explore the relationship between OCP adherence, knowledge, and self-efficacy. MethodsThis cross-sectional study recruited a random sample of female college students to participate in an online survey. OCP adherence was based on the 8-item Morisky Medication Adherence Scale (MMAS-8). Secondary reporting of medication adherence included participant reports of the number of missed OCP doses in the previous month and typical month of use. ResultsOf the 5000 invited, 1559 (31.3%) completed the survey. Of those responding, 670 (41.3%) reported use of OCPs. A total of 293 (44.3%) OCP users met criteria for low adherence, 241 (36.4%) met criteria for medium adherence, and 128 (19.3%) met criteria for high adherence. Those with high adherence had higher self-efficacy (P \u3c 0.001) and perceived knowledge (p \u3c 0.001). After controlling for other factors, self-efficacy (b = .37) and perceived knowledge (b = .09) remained associated with OCP adherence. ConclusionLess than 20% of respondents met the criteria for high adherence to OCPs. Self-efficacy and knowledge were associated with higher OCP adherence. Targeted interventions from healthcare providers, health educators, and other adherence related media to increase the knowledge and self-efficacy of patients using OCPs may improve adherence rates. Additional research is needed to evaluate the impact of innovative interventions focused on social and behavioral patient factors, like knowledge and self-efficacy, on adherence to OCPs	['SDG03']
10.1016/j.etap.2017.08.022	Wildfire smoke exposure and human health: Significant gaps in research for a growing public health issue		['SDG03']
10.1002/14651858.cd011086.pub2	Implementation strategies for health systems in low-income countries: An overview of systematic reviews		['SDG03']
10.1111/hsc.12500	The health and well-being of children and young people who are looked after: Findings from a face-to-face survey in Glasgow	Evidence suggests children and young people who are looked after (LACYP) may have poorer health outcomes than children and young people in the general population, particularly in relation to mental health. This paper discusses findings from a survey of the health and well-being of LACYP in Glasgow. A structured questionnaire used in the 2010 Glasgow Schools Survey (GSS) was adapted and administered in face-to-face interviews with 130 young people aged 11–18 in 2014–2015 to investigate various aspects of health and well-being including physical activity, diet and sleep, smoking, alcohol and drugs, health feelings and worries, behaviours, attitudes and expectations. LACYP were more likely to report that they had tried drugs, slightly more likely to have scores indicating a high level of difficulties on the Strengths and Difficulties Questionnaire (SDQ) and less likely to report that they ate fruit and vegetables, used active transport methods to get to school and expected to go on to further or higher education; however, reported rates of physical activity, smoking and drinking were similar. LACYP were less likely to report that they had engaged in antisocial behaviour, truancy or bullying or been exposed to environmental tobacco smoke, less likely to worry or have low self-esteem, and more likely to rate their health positively. There were some variations according to placement type. The findings of this study present a more positive picture of the health and well-being of LACYP in Glasgow than might have been expected but should be treated with caution due to small sample size. Further research is needed to identify differences in relation to placement type and to determine whether being looked after might be associated with improved health and well-being outcomes for some children and young people	['SDG03']
10.1038/s41598-017-11785-x	Changing smoking-mortality association over time and across social groups: National census-mortality cohort studies from 1981 to 2011		['SDG03']
10.1002/hec.3562	Are children rational decision makers when they are asked to value their own health? A contingent valuation study conducted with children and their parents		['SDG03']
10.1038/s41598-017-10286-1	The molecular epidemiology of HIV-1 in the Comunidad Valenciana (Spain): Analysis of transmission clusters	AbstractHIV infections are still a very serious concern for public heath worldwide. We have applied molecular evolution methods to study the HIV-1 epidemics in the Comunidad Valenciana (CV, Spain) from a public health surveillance perspective. For this, we analysed 1804 HIV-1 sequences comprising protease and reverse transcriptase (PR/RT) coding regions, sampled between 2004 and 2014. These sequences were subtyped and subjected to phylogenetic analyses in order to detect transmission clusters. In addition, univariate and multinomial comparisons were performed to detect epidemiological differences between HIV-1 subtypes, and risk groups. The HIV epidemic in the CV is dominated by subtype B infections among local men who have sex with men (MSM). 270 transmission clusters were identified (&gt;57% of the dataset), 12 of which included ≥10 patients; 11 of subtype B (9 affecting MSMs) and one (n = 21) of CRF14, affecting predominately intravenous drug users (IDUs). Dated phylogenies revealed these large clusters to have originated from the mid-80s to the early 00 s. Subtype B is more likely to form transmission clusters than non-B variants and MSMs to cluster than other risk groups. Multinomial analyses revealed an association between non-B variants, which are not established in the local population yet, and different foreign groups.</jats:p	['SDG03']
10.1016/j.contraception.2017.08.014	Perfect-use and typical-use Pearl Index of a contraceptive mobile app		['SDG03']
10.1016/j.envpol.2017.08.071	Evaluation of the water quality of the upper reaches of the main Southern Brazil river (Iguaçu river) through in situ exposure of the native siluriform Rhamdia quelen in cages		['SDG03']
10.1111/bcp.13396	In vivo and in vitro palatability testing of a new paediatric formulation of valaciclovir	Aims: The palatability of a new paediatric formulation of valaciclovir was assessed in children and their parents: non-inferiority of the new paediatric formulation (test formulation) compared to the reference formulation was investigated. Methods: In vivo palatability testing was performed in a randomized, two-period, multicentre, cross-over study. Children and their parents scored the liking of the new paediatric valaciclovir formulation and the reference formulation on a 100 mm visual analogue scale (VAS). To support formulation development and palatability testing, electronic tongue measurements were applied. Results: The electronic tongue measurement indicated taste-masking capabilities for three different formulations in the developmental phase. A glycerol-based formulation was further tested and compared to the reference formulation prepared out of crushed and suspended tablets. The mean difference (95% CI) in VAS scores between both formulations, as indicated by the children (n = 20), was 2.4 (−8.5, 13) mm, in favour of the new paediatric valaciclovir formulation. The mean (95% CI) difference in VAS scores indicated by the parents (n = 20) was −0.9 (−12, 9.8) mm. Conclusion: The palatability of the new paediatric valaciclovir formulation was considered non-inferior to the reference formulation prepared out of crushed tablets. We were able to optimize the study design and number of children to be included in the palatability testing by using electronic tongue measurements	['SDG03']
10.7860/jcdr/2017/27859.10642	Delayed tension pneumothorax - identification and treatment in traumatic bronchial injury: An interesting presentation		['SDG03']
10.1515/revecp-2017-0012	Peer Effects and Youth Smoking in the European Global Youth Tobacco Survey		['SDG03']
10.1016/j.gofs.2017.08.003	Smoking cessation and pregnancy		['SDG03']
